Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,18.74329948425293,18.750499725341797,18.687740325927734,18.74329948425293,18.74329948425293,0
2023-01-04,18.70686912536621,18.76799964904785,18.714839935302734,18.70686912536621,18.70686912536621,0
2023-01-05,18.735950469970703,18.772260665893555,18.72665023803711,18.735950469970703,18.735950469970703,0
2023-01-06,18.766599655151367,18.787080764770508,18.66550064086914,18.766599655151367,18.766599655151367,0
2023-01-09,18.768489837646484,18.781999588012695,18.514999389648438,18.768489837646484,18.768489837646484,0
2023-01-10,18.758499145507812,18.77927017211914,18.510000228881836,18.758499145507812,18.758499145507812,0
2023-01-11,18.754459381103516,18.805700302124023,18.75489044189453,18.754459381103516,18.754459381103516,0
2023-01-12,18.773399353027344,18.784000396728516,18.740999221801758,18.773399353027344,18.773399353027344,0
2023-01-13,18.77869987487793,18.79640007019043,18.76922035217285,18.77869987487793,18.77869987487793,0
2023-01-16,18.783069610595703,18.797500610351562,18.764629364013672,18.783069610595703,18.783069610595703,0
2023-01-17,18.779090881347656,18.798999786376953,18.750980377197266,18.779090881347656,18.779090881347656,0
2023-01-18,18.75263023376465,18.79840087890625,18.746490478515625,18.75263023376465,18.75263023376465,0
2023-01-19,18.763029098510742,18.802600860595703,18.748680114746094,18.763029098510742,18.763029098510742,0
2023-01-20,18.792699813842773,18.824600219726562,18.769990921020508,18.792699813842773,18.792699813842773,0
2023-01-23,18.79254913330078,18.832500457763672,18.688669204711914,18.793350219726562,18.793350219726562,0
2023-01-24,18.719240188598633,18.819799423217773,18.669769287109375,18.719240188598633,18.719240188598633,0
2023-01-25,18.795230865478516,18.81879997253418,18.789379119873047,18.795230865478516,18.795230865478516,0
2023-01-26,18.804000854492188,18.81546974182129,18.778789520263672,18.804000854492188,18.804000854492188,0
2023-01-27,18.81049919128418,18.8174991607666,18.794429779052734,18.81049919128418,18.81049919128418,0
2023-01-30,18.798599243164062,18.842599868774414,18.737899780273438,18.798599243164062,18.798599243164062,0
2023-01-31,18.808000564575195,18.81513023376465,18.772809982299805,18.808000564575195,18.808000564575195,0
2023-02-01,18.804000854492188,18.822059631347656,18.799150466918945,18.804000854492188,18.804000854492188,0
2023-02-02,18.807449340820312,18.81995964050293,18.799739837646484,18.807449340820312,18.807449340820312,0
2023-02-03,18.80525016784668,18.830520629882812,18.805370330810547,18.80525016784668,18.80525016784668,0
2023-02-06,18.825319290161133,18.83679962158203,18.81329917907715,18.825319290161133,18.825319290161133,0
2023-02-07,18.829099655151367,18.837200164794922,18.819700241088867,18.829099655151367,18.829099655151367,0
2023-02-08,18.831600189208984,18.839099884033203,18.822219848632812,18.831600189208984,18.831600189208984,0
2023-02-09,18.832359313964844,18.83548927307129,18.820899963378906,18.832359313964844,18.832359313964844,0
2023-02-10,18.829700469970703,18.83824920654297,18.822500228881836,18.829700469970703,18.829700469970703,0
2023-02-13,18.82975959777832,18.845510482788086,18.80756950378418,18.82975959777832,18.82975959777832,0
2023-02-14,18.837459564208984,18.849599838256836,18.828720092773438,18.837459564208984,18.837459564208984,0
2023-02-15,18.84394073486328,18.897850036621094,18.726150512695312,18.84394073486328,18.84394073486328,0
